iteration,mean_reward,mean_cost,mean_length,actor_loss,critic_loss,kl,disc_loss,expert_acc,policy_acc,expert_d,policy_d
0,13.61843021908471,7.333333333333333,682.6666666666666,3177095700.0,22084.602,1.1962249,9.876676,0.0890625,0.83984375,0.09513075,0.17049351
10,-0.4152960823716611,34.666666666666664,682.6666666666666,11436603000.0,15166.066,0.03432149,8.83325,0.09375,0.85,0.111795805,0.15862055
20,3.0105480732745313,0.0,682.6666666666666,7049151500.0,2301.8792,0.03724702,8.229573,0.0953125,0.7140625,0.14577475,0.28278875
30,2.4330399219637875,21.0,682.6666666666666,9904974000.0,1732.5103,0.024710886,8.049187,0.1125,0.6875,0.23173067,0.32524198
40,0.7423412981639803,41.333333333333336,682.6666666666666,3095371500.0,1235.1317,0.054649465,8.008916,0.103125,0.6375,0.27445868,0.38425988
50,-14.863143513083552,5.333333333333333,682.6666666666666,1446724000.0,20196.883,1125.1023,3279.4292,1.0,0.41796875,1.0,0.58079445
60,-10.271662209790678,7.666666666666667,682.6666666666666,2786728.8,11018.751,23650.283,71828.47,1.0,0.01484375,1.0,0.98506725
70,-10.0,0.0,1.0,nan,nan,nan,nan,0.0,0.0,nan,nan
80,-10.0,0.0,1.0,nan,nan,nan,nan,0.0,0.0,nan,nan
