iteration,mean_reward,mean_cost,mean_length,actor_loss,critic_loss,kl,disc_loss,expert_acc,policy_acc,expert_d,policy_d
0,13.17262488424484,45.666666666666664,682.6666666666666,2628579600.0,44999.312,1.0893742,872.4243,0.11171875,0.9320313,0.110392734,0.07377586
10,3.0134082660621417,47.666666666666664,682.6666666666666,10184511000.0,15958.965,0.028917678,60.687122,0.1015625,0.89375,0.09994747,0.10154402
20,-0.2217895609212636,0.0,682.6666666666666,3383483000.0,7468.5566,0.015998542,37.441284,0.10546875,0.89921874,0.10442966,0.10464953
30,-0.3774372999905143,41.333333333333336,682.6666666666666,2240172000.0,6749.0503,0.015461811,28.087524,0.0984375,0.8984375,0.097214855,0.10367942
40,-0.822759067024073,0.0,682.6666666666666,3171292200.0,7603.023,0.06326004,22.561508,0.08046875,0.9015625,0.07943142,0.10329944
