iteration,mean_reward,mean_cost,mean_length,actor_loss,critic_loss,kl,disc_loss,expert_acc,policy_acc,expert_d,policy_d
0,13.61843021908471,7.333333333333333,682.6666666666666,3179259000.0,21575.676,1.196224,9.755213,0.0890625,0.8382813,0.09583426,0.17393665
10,-1.0640666069720706,7.666666666666667,682.6666666666666,3150331000.0,9497.018,0.08314365,8.583727,0.09453125,0.76953125,0.12411775,0.23283498
20,0.513189790679024,49.333333333333336,682.6666666666666,3417586400.0,1720.245,0.02972058,8.347121,0.096875,0.71875,0.15084225,0.2919337
30,-0.05458282041738841,27.333333333333332,682.6666666666666,2411668000.0,1118.44,0.045092303,8.702791,0.1,0.65703124,0.19825491,0.35706076
40,1.0244154238481127,0.0,682.6666666666666,3492787200.0,1172.6444,0.057904735,7.244653,0.28203124,0.6429688,0.3541969,0.37626892
50,1.1065452829888665,25.0,682.6666666666666,1329608.1,1497.9104,454.24213,1707.3162,0.996875,0.0,0.9970418,0.99997103
