iteration,elapsed_time,cost_loss,nu_loss,actor_loss,anti_expert_nu,unlabeled_nu,init_nu,unlabeled_adv,anti_expert_adv,unlabeled_weight,anti_expert_weight,unlabeled_min_weight,unlabeled_max_weight,anti_expert_min_weight,anti_expert_max_weight,unlabeled_reward,anti_expert_reward,alpha,eval_return,eval_cost,CVar50,CVar20,CVar10,CVar5
130000,12391.560045957565,"tf.Tensor(1.1678264, shape=(), dtype=float32)","tf.Tensor(6.429545, shape=(), dtype=float32)","tf.Tensor(-14.342994, shape=(), dtype=float32)","tf.Tensor(1.9461018, shape=(), dtype=float32)","tf.Tensor(4.2732997, shape=(), dtype=float32)","tf.Tensor(-19.311615, shape=(), dtype=float32)","tf.Tensor(-0.015312517, shape=(), dtype=float32)","tf.Tensor(-0.18021007, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0026848512, shape=(), dtype=float32)","tf.Tensor(11.586801, shape=(), dtype=float32)","tf.Tensor(0.0034702446, shape=(), dtype=float32)","tf.Tensor(8.288786, shape=(), dtype=float32)","tf.Tensor(0.0064938357, shape=(), dtype=float32)","tf.Tensor(-0.14134696, shape=(), dtype=float32)",0.19003750251770019,18.491953910667384,30.654,51.952,74.32,87.88,98.28
140000,13127.467990636826,"tf.Tensor(1.1766942, shape=(), dtype=float32)","tf.Tensor(6.4846983, shape=(), dtype=float32)","tf.Tensor(-13.060471, shape=(), dtype=float32)","tf.Tensor(2.4478197, shape=(), dtype=float32)","tf.Tensor(4.2353077, shape=(), dtype=float32)","tf.Tensor(-19.26914, shape=(), dtype=float32)","tf.Tensor(0.02798258, shape=(), dtype=float32)","tf.Tensor(-0.11604506, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(4.1636122e-07, shape=(), dtype=float32)","tf.Tensor(13.171534, shape=(), dtype=float32)","tf.Tensor(0.009760827, shape=(), dtype=float32)","tf.Tensor(22.623587, shape=(), dtype=float32)","tf.Tensor(0.03195952, shape=(), dtype=float32)","tf.Tensor(-0.13140465, shape=(), dtype=float32)",0.19003750251770019,18.549880302384736,30.042,51.152,73.31,88.64,103.24
150000,13843.189195871353,"tf.Tensor(1.1724588, shape=(), dtype=float32)","tf.Tensor(6.4463906, shape=(), dtype=float32)","tf.Tensor(-12.550422, shape=(), dtype=float32)","tf.Tensor(2.1079032, shape=(), dtype=float32)","tf.Tensor(4.04436, shape=(), dtype=float32)","tf.Tensor(-21.625217, shape=(), dtype=float32)","tf.Tensor(0.04004598, shape=(), dtype=float32)","tf.Tensor(-0.069996886, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.0051202485, shape=(), dtype=float32)","tf.Tensor(6.648965, shape=(), dtype=float32)","tf.Tensor(4.456584e-05, shape=(), dtype=float32)","tf.Tensor(9.46858, shape=(), dtype=float32)","tf.Tensor(0.07027353, shape=(), dtype=float32)","tf.Tensor(-0.11979948, shape=(), dtype=float32)",0.19003750251770019,18.491991011183984,31.346,53.728,77.12,91.0,104.08
160000,14604.329926252365,"tf.Tensor(1.2149848, shape=(), dtype=float32)","tf.Tensor(6.361628, shape=(), dtype=float32)","tf.Tensor(-13.533907, shape=(), dtype=float32)","tf.Tensor(2.797063, shape=(), dtype=float32)","tf.Tensor(3.969368, shape=(), dtype=float32)","tf.Tensor(-20.049953, shape=(), dtype=float32)","tf.Tensor(-0.10217749, shape=(), dtype=float32)","tf.Tensor(-0.14180365, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.000898636, shape=(), dtype=float32)","tf.Tensor(7.00391, shape=(), dtype=float32)","tf.Tensor(0.0007416361, shape=(), dtype=float32)","tf.Tensor(7.343281, shape=(), dtype=float32)","tf.Tensor(-0.0541156, shape=(), dtype=float32)","tf.Tensor(-0.1163899, shape=(), dtype=float32)",0.19003750251770019,18.533128110772434,30.53,52.72,75.68,90.76,106.12
170000,15343.180420160294,"tf.Tensor(1.1880107, shape=(), dtype=float32)","tf.Tensor(6.3309965, shape=(), dtype=float32)","tf.Tensor(-14.39333, shape=(), dtype=float32)","tf.Tensor(2.1961164, shape=(), dtype=float32)","tf.Tensor(3.9502242, shape=(), dtype=float32)","tf.Tensor(-22.397804, shape=(), dtype=float32)","tf.Tensor(-0.084652096, shape=(), dtype=float32)","tf.Tensor(-0.21030213, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(1.0000001, shape=(), dtype=float32)","tf.Tensor(0.0012474799, shape=(), dtype=float32)","tf.Tensor(5.3240104, shape=(), dtype=float32)","tf.Tensor(2.4179359e-08, shape=(), dtype=float32)","tf.Tensor(18.620937, shape=(), dtype=float32)","tf.Tensor(-0.034765128, shape=(), dtype=float32)","tf.Tensor(-0.13362552, shape=(), dtype=float32)",0.19003750251770019,18.612571700054765,28.66,49.236,70.37,84.14,97.04
180000,16074.347192764282,"tf.Tensor(1.1821977, shape=(), dtype=float32)","tf.Tensor(6.3894167, shape=(), dtype=float32)","tf.Tensor(-13.898868, shape=(), dtype=float32)","tf.Tensor(1.8380696, shape=(), dtype=float32)","tf.Tensor(4.1304436, shape=(), dtype=float32)","tf.Tensor(-22.13882, shape=(), dtype=float32)","tf.Tensor(-0.015396841, shape=(), dtype=float32)","tf.Tensor(-0.0977615, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(7.933334e-05, shape=(), dtype=float32)","tf.Tensor(9.865293, shape=(), dtype=float32)","tf.Tensor(0.035209306, shape=(), dtype=float32)","tf.Tensor(15.4353485, shape=(), dtype=float32)","tf.Tensor(-0.0100641195, shape=(), dtype=float32)","tf.Tensor(-0.12988767, shape=(), dtype=float32)",0.19003750251770019,18.474953997665903,29.054,50.78,74.51,89.74,101.72
190000,16803.30104160309,"tf.Tensor(1.177773, shape=(), dtype=float32)","tf.Tensor(6.364304, shape=(), dtype=float32)","tf.Tensor(-14.017067, shape=(), dtype=float32)","tf.Tensor(1.8618126, shape=(), dtype=float32)","tf.Tensor(3.6352289, shape=(), dtype=float32)","tf.Tensor(-22.89259, shape=(), dtype=float32)","tf.Tensor(-0.021482116, shape=(), dtype=float32)","tf.Tensor(-0.12425019, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0013536997, shape=(), dtype=float32)","tf.Tensor(6.6816897, shape=(), dtype=float32)","tf.Tensor(0.0025405316, shape=(), dtype=float32)","tf.Tensor(8.609434, shape=(), dtype=float32)","tf.Tensor(-0.032895178, shape=(), dtype=float32)","tf.Tensor(-0.1412331, shape=(), dtype=float32)",0.19003750251770019,18.525059446127933,29.138,50.94,73.37,87.96,101.36
200000,18089.6454205513,"tf.Tensor(1.1887168, shape=(), dtype=float32)","tf.Tensor(6.409816, shape=(), dtype=float32)","tf.Tensor(-13.528702, shape=(), dtype=float32)","tf.Tensor(1.6799816, shape=(), dtype=float32)","tf.Tensor(3.8577662, shape=(), dtype=float32)","tf.Tensor(-24.55817, shape=(), dtype=float32)","tf.Tensor(-0.004320287, shape=(), dtype=float32)","tf.Tensor(-0.18679306, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(0.0013427327, shape=(), dtype=float32)","tf.Tensor(12.553481, shape=(), dtype=float32)","tf.Tensor(9.011651e-13, shape=(), dtype=float32)","tf.Tensor(11.026577, shape=(), dtype=float32)","tf.Tensor(-0.009213099, shape=(), dtype=float32)","tf.Tensor(-0.12371363, shape=(), dtype=float32)",0.19003750251770019,18.49708725405787,31.444,53.904,77.77,93.38,106.96
210000,18843.423063755035,"tf.Tensor(1.1986371, shape=(), dtype=float32)","tf.Tensor(6.3649654, shape=(), dtype=float32)","tf.Tensor(-13.0212555, shape=(), dtype=float32)","tf.Tensor(2.026776, shape=(), dtype=float32)","tf.Tensor(3.8812652, shape=(), dtype=float32)","tf.Tensor(-23.564713, shape=(), dtype=float32)","tf.Tensor(-0.095764294, shape=(), dtype=float32)","tf.Tensor(-0.09705882, shape=(), dtype=float32)","tf.Tensor(0.9999999, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(4.0591895e-05, shape=(), dtype=float32)","tf.Tensor(11.928593, shape=(), dtype=float32)","tf.Tensor(0.01713459, shape=(), dtype=float32)","tf.Tensor(13.291008, shape=(), dtype=float32)","tf.Tensor(-0.02226703, shape=(), dtype=float32)","tf.Tensor(-0.1154466, shape=(), dtype=float32)",0.19003750251770019,18.566515851327605,29.518,51.184,74.03,88.84,102.92
220000,19597.27485346794,"tf.Tensor(1.186288, shape=(), dtype=float32)","tf.Tensor(6.3828154, shape=(), dtype=float32)","tf.Tensor(-14.482452, shape=(), dtype=float32)","tf.Tensor(1.8037528, shape=(), dtype=float32)","tf.Tensor(3.406208, shape=(), dtype=float32)","tf.Tensor(-23.967077, shape=(), dtype=float32)","tf.Tensor(-0.020939074, shape=(), dtype=float32)","tf.Tensor(-0.17454766, shape=(), dtype=float32)","tf.Tensor(0.99999994, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0030950173, shape=(), dtype=float32)","tf.Tensor(17.978065, shape=(), dtype=float32)","tf.Tensor(0.014834203, shape=(), dtype=float32)","tf.Tensor(24.07742, shape=(), dtype=float32)","tf.Tensor(-0.03741503, shape=(), dtype=float32)","tf.Tensor(-0.13529013, shape=(), dtype=float32)",0.19003750251770019,18.589216072010682,30.198,53.132,76.36,90.14,102.68
